,Year,Statistic,Name,Team,Value
943,1974,Triples,Mickey Rivers,California,11
944,1975,Base on Balls,John Mayberry,Kansas City,119
945,1975,Batting Average,Rod Carew,Minnesota,.359
946,1975,Doubles,Fred Lynn,Boston,47
947,1975,Hits,George Brett,Kansas City,195
948,1975,Home Runs,Reggie Jackson,Oakland,36
949,1975,Home Runs,George Scott,Milwaukee,36
950,1975,On Base Percentage,Rod Carew,Minnesota,.428
951,1975,RBI,George Scott,Milwaukee,109
952,1975,Runs,Fred Lynn,Boston,103
953,1975,Slugging Average,Fred Lynn,Boston,.566
954,1975,Stolen Bases,Mickey Rivers,California,70
955,1975,Total Bases,George Scott,Milwaukee,318
956,1975,Triples,George Brett,Kansas City,13
957,1975,Triples,Mickey Rivers,California,13
958,1976,Base on Balls,Mike Hargrove,Texas,97
959,1976,Batting Average,George Brett,Kansas City,.333
960,1976,Doubles,Amos Otis,Kansas City,40
961,1976,Hits,George Brett,Kansas City,215
962,1976,Home Runs,Graig Nettles,New York,32
963,1976,On Base Percentage,Hal McRae,Kansas City,.412
964,1976,RBI,Lee May,Baltimore,109
965,1976,Runs,Roy White,New York,104
966,1976,Slugging Average,Reggie Jackson,Baltimore,.502
967,1976,Stolen Bases,Billy North,Oakland,75
968,1976,Total Bases,George Brett,Kansas City,298
969,1976,Triples,George Brett,Kansas City,14
970,1977,Base on Balls,Toby Harrah,Texas,109
971,1977,Batting Average,Rod Carew,Minnesota,.388
972,1977,Doubles,Hal McRae,Kansas City,54
973,1977,Hits,Rod Carew,Minnesota,239
974,1977,Home Runs,Jim Rice,Boston,39
975,1977,On Base Percentage,Rod Carew,Minnesota,.452
976,1977,RBI,Larry Hisle,Minnesota,119
977,1977,Runs,Rod Carew,Minnesota,128
978,1977,Slugging Average,Jim Rice,Boston,.593
979,1977,Stolen Bases,Freddie Patek,Kansas City,53
980,1977,Total Bases,Jim Rice,Boston,382
981,1977,Triples,Rod Carew,Minnesota,16
982,1978,Base on Balls,Mike Hargrove,Texas,107
983,1978,Batting Average,Rod Carew,Minnesota,.333
984,1978,Doubles,George Brett,Kansas City,45
985,1978,Hits,Jim Rice,Boston,213
986,1978,Home Runs,Jim Rice,Boston,46
987,1978,On Base Percentage,Rod Carew,Minnesota,.415
988,1978,RBI,Jim Rice,Boston,139
989,1978,Runs,Ron LeFlore,Detroit,126
990,1978,Slugging Average,Jim Rice,Boston,.600
991,1978,Stolen Bases,Ron LeFlore,Detroit,68
992,1978,Total Bases,Jim Rice,Boston,406
993,1978,Triples,Jim Rice,Boston,15
994,1979,Base on Balls,Darrell Porter,Kansas City,121
995,1979,Batting Average,Fred Lynn,Boston,.333
996,1979,Doubles,Cecil Cooper,Milwaukee,44
997,1979,Doubles,Chet Lemon,Chicago,44
998,1979,Hits,George Brett,Kansas City,212
999,1979,Home Runs,Gorman Thomas,Milwaukee,45
1000,1979,On Base Percentage,Darrell Porter,Kansas City,.429
1001,1979,RBI,Don Baylor,California,139
1002,1979,Runs,Don Baylor,California,120
1003,1979,Slugging Average,Fred Lynn,Boston,.637
1004,1979,Stolen Bases,Willie Wilson,Kansas City,83
1005,1979,Total Bases,Jim Rice,Boston,369
1006,1979,Triples,George Brett,Kansas City,20
1007,1980,Base on Balls,Willie Randolph,New York,119
1008,1980,Batting Average,George Brett,Kansas City,.390
1009,1980,Doubles,Robin Yount,Milwaukee,49
1010,1980,Hits,Willie Wilson,Kansas City,230
1011,1980,Home Runs,Ben Oglivie,Milwaukee,41
1012,1980,Home Runs,Reggie Jackson,New York,41
1013,1980,On Base Percentage,George Brett,Kansas City,.461
1014,1980,RBI,Cecil Cooper,Milwaukee,122
1015,1980,Runs,Willie Wilson,Kansas City,133
1016,1980,Slugging Average,George Brett,Kansas City,.664
1017,1980,Stolen Bases,Rickey Henderson,Oakland,100
1018,1980,Total Bases,Cecil Cooper,Milwaukee,335
1019,1980,Triples,Alfredo Griffin,Toronto,15
1020,1980,Triples,Willie Wilson,Kansas City,15
1021,1981,Base on Balls,Dwight Evans,Boston,85
1022,1981,Batting Average,Carney Lansford,Boston,.336
1023,1981,Doubles,Cecil Cooper,Milwaukee,35
1024,1981,Hits,Rickey Henderson,Oakland,135
1025,1981,Home Runs,Tony Armas,Oakland,22
1026,1981,Home Runs,Dwight Evans,Boston,22
1027,1981,Home Runs,Bobby Grich,California,22
1028,1981,Home Runs,Eddie Murray,Baltimore,22
1029,1981,On Base Percentage,Mike Hargrove,Cleveland,.432
1030,1981,RBI,Eddie Murray,Baltimore,78
1031,1981,Runs,Rickey Henderson,Oakland,89
1032,1981,Slugging Average,Bobby Grich,California,.543
1033,1981,Stolen Bases,Rickey Henderson,Oakland,56
1034,1981,Total Bases,Dwight Evans,Boston,215
1035,1981,Triples,John Castino,Minnesota,9
1036,1982,Base on Balls,Rickey Henderson,Oakland,116
1037,1982,Batting Average,Willie Wilson,Kansas City,.332
1038,1982,Doubles,Hal McRae,Kansas City,46
1039,1982,Doubles,Robin Yount,Milwaukee,46
1040,1982,Hits,Robin Yount,Milwaukee,210
1041,1982,Home Runs,Reggie Jackson,California,39
1042,1982,Home Runs,Gorman Thomas,Milwaukee,39
1043,1982,On Base Percentage,Dwight Evans,Boston,.403
1044,1982,RBI,Hal McRae,Kansas City,133
1045,1982,Runs,Paul Molitor,Milwaukee,136
1046,1982,Slugging Average,Robin Yount,Milwaukee,.578
1047,1982,Stolen Bases,Rickey Henderson,Oakland,130
1048,1982,Total Bases,Robin Yount,Milwaukee,367
1049,1982,Triples,Willie Wilson,Kansas City,15
1050,1983,Base on Balls,Rickey Henderson,Oakland,103
1051,1983,Batting Average,Wade Boggs,Boston,.361
1052,1983,Doubles,"Cal Ripken, Jr.",Baltimore,47
1053,1983,Hits,"Cal Ripken, Jr.",Baltimore,211
1054,1983,Home Runs,Jim Rice,Boston,39
1055,1983,On Base Percentage,Wade Boggs,Boston,.449
1056,1983,RBI,Cecil Cooper,Milwaukee,126
1057,1983,RBI,Jim Rice,Boston,126
1058,1983,Runs,"Cal Ripken, Jr.",Baltimore,121
1059,1983,Slugging Average,George Brett,Kansas City,.563
1060,1983,Stolen Bases,Rickey Henderson,Oakland,108
1061,1983,Total Bases,Jim Rice,Boston,344
1062,1983,Triples,Robin Yount,Milwaukee,10
1063,1984,Base on Balls,Eddie Murray,Baltimore,107
1064,1984,Batting Average,Don Mattingly,New York,.343
1065,1984,Doubles,Don Mattingly,New York,44
1066,1984,Hits,Don Mattingly,New York,207
1067,1984,Home Runs,Tony Armas,Boston,43
1068,1984,On Base Percentage,Eddie Murray,Baltimore,.415
1069,1984,RBI,Tony Armas,Boston,123
1070,1984,Runs,Dwight Evans,Boston,121
1071,1984,Slugging Average,Harold Baines,Chicago,.541
1072,1984,Stolen Bases,Rickey Henderson,Oakland,66
1073,1984,Total Bases,Tony Armas,Boston,339
1074,1984,Triples,Dave Collins,Toronto,15
1075,1984,Triples,Lloyd Moseby,Toronto,15
1076,1985,Base on Balls,Dwight Evans,Boston,114
1077,1985,Batting Average,Wade Boggs,Boston,.368
1078,1985,Doubles,Don Mattingly,New York,48
