,Year,Statistic,Name,Team,Value
526,1959,Games,Gerry Staley,Chicago,67
527,1959,Saves,Turk Lown,Chicago,15
528,1959,Shutouts,Camilo Pascual,Washington,6
529,1959,Strikeouts,Jim Bunning,Detroit,201
530,1959,Winning Percentage,Bob Shaw,Chicago,.750
531,1959,Wins,Early Wynn,Chicago,22
532,1960,Complete Games,Frank Lary,Detroit,15
533,1960,ERA,Frank Baumann,Chicago,2.67
534,1960,Games,Mike Fornieles,Boston,70
535,1960,Saves,Johnny Klippstein,Cleveland,14
536,1960,Saves,Mike Fornieles,Boston,14
537,1960,Shutouts,Whitey Ford,New York,4
538,1960,Shutouts,Jim Perry,Cleveland,4
539,1960,Shutouts,Early Wynn,Chicago,4
540,1960,Strikeouts,Jim Bunning,Detroit,201
541,1960,Winning Percentage,Jim Perry,Cleveland,.643
542,1960,Wins,Chuck Estrada,Baltimore,18
543,1960,Wins,Jim Perry,Cleveland,18
544,1961,Complete Games,Frank Lary,Detroit,22
545,1961,ERA,Dick Donovan,Washington,2.40
546,1961,Games,Luis Arroyo,New York,65
547,1961,Saves,Luis Arroyo,New York,29
548,1961,Shutouts,Steve Barber,Baltimore,8
549,1961,Shutouts,Camilo Pascual,Minnesota,8
550,1961,Strikeouts,Camilo Pascual,Minnesota,221
551,1961,Winning Percentage,Whitey Ford,New York,.862
552,1961,Wins,Whitey Ford,New York,25
553,1962,Complete Games,Camilo Pascual,Minnesota,18
554,1962,ERA,Hank Aguirre,Detroit,2.21
555,1962,Games,Dick Radatz,Boston,62
556,1962,Saves,Dick Radatz,Boston,24
557,1962,Shutouts,Dick Donovan,Cleveland,5
558,1962,Shutouts,Jim Kaat,Minnesota,5
559,1962,Shutouts,Camilo Pascual,Minnesota,5
560,1962,Strikeouts,Camilo Pascual,Minnesota,206
561,1962,Winning Percentage,Ray Herbert,Chicago,.690
562,1962,Wins,Ralph Terry,New York,23
563,1963,Complete Games,Camilo Pascual,Minnesota,18
564,1963,Complete Games,Ralph Terry,New York,18
565,1963,ERA,Gary Peters,Chicago,2.33
566,1963,Games,Stu Miller,Baltimore,71
567,1963,Saves,Stu Miller,Baltimore,27
